"","code","idnum","pair","candidate","at.run","at.asso","at.press","at.presaut","at.vote","selected","woman","socideo","partyid","reg","trustfed","income.n","educ.n","polknow","vote.selling"
"11","2-1-1",2,1,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,2,1,1,1,1,8,7,1.01343778536874,0
"12","2-1-2",2,1,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,2,1,1,1,1,8,7,1.01343778536874,0
"13","2-2-1",2,2,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,2,1,1,1,1,8,7,1.01343778536874,0
"14","2-2-2",2,2,2,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,2,1,1,1,1,8,7,1.01343778536874,0
"15","2-3-1",2,3,1,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,2,1,1,1,1,8,7,1.01343778536874,0
"16","2-3-2",2,3,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,2,1,1,1,1,8,7,1.01343778536874,0
"17","2-4-1",2,4,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,2,1,1,1,1,8,7,1.01343778536874,0
"18","2-4-2",2,4,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,2,1,1,1,1,8,7,1.01343778536874,0
"19","2-5-1",2,5,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",1,2,1,1,1,1,8,7,1.01343778536874,0
"20","2-5-2",2,5,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,2,1,1,1,1,8,7,1.01343778536874,0
"21","3-1-1",3,1,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,2,3,1,1,2,2,2,0.519251847428729,0
"22","3-1-2",3,1,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,2,3,1,1,2,2,2,0.519251847428729,0
"23","3-2-1",3,2,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,2,3,1,1,2,2,2,0.519251847428729,0
"24","3-2-2",3,2,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,2,3,1,1,2,2,2,0.519251847428729,0
"25","3-3-1",3,3,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,2,3,1,1,2,2,2,0.519251847428729,0
"26","3-3-2",3,3,2,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,2,3,1,1,2,2,2,0.519251847428729,0
"27","3-4-1",3,4,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,2,3,1,1,2,2,2,0.519251847428729,0
"28","3-4-2",3,4,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,2,3,1,1,2,2,2,0.519251847428729,0
"29","3-5-1",3,5,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,2,3,1,1,2,2,2,0.519251847428729,0
"30","3-5-2",3,5,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",1,2,3,1,1,2,2,2,0.519251847428729,0
